Data Table for Rates of COVID-19-Associated Hospitalizations by Vaccine Status in Adults January-August 2021
Date generated: Sun Oct 24 2021 16:24:51 GMT-0400 (Eastern Daylight Time)
Week ending,Age group,Rate in unvaccinated,Rate in fully vaccinated
2021-01-30,65+ yr,34.4,0
2021-01-30,50-64 yr,21.2,1.2
2021-01-30,18-49 yr,6.3,0
2021-02-06,65+ yr,43.2,6.4
2021-02-06,50-64 yr,15.4,0
2021-02-06,18-49 yr,6.1,0
2021-02-13,65+ yr,28.3,5.2
2021-02-13,50-64 yr,12.9,0.5
2021-02-13,18-49 yr,5.1,0.5
2021-02-20,65+ yr,22.8,6.6
2021-02-20,50-64 yr,12.9,1
2021-02-20,18-49 yr,4.4,0.2
2021-02-27,65+ yr,23.4,6.9
2021-02-27,50-64 yr,11.4,1
2021-02-27,18-49 yr,4.5,0.3
2021-03-06,65+ yr,22.2,2.4
2021-03-06,50-64 yr,14.8,1
2021-03-06,18-49 yr,4.2,0.2
2021-03-13,65+ yr,24.5,4.1
2021-03-13,50-64 yr,11.4,2.7
2021-03-13,18-49 yr,5.2,0.3
2021-03-20,65+ yr,41,4
2021-03-20,50-64 yr,11.9,1.2
2021-03-20,18-49 yr,4.5,0.4
2021-03-27,65+ yr,37.3,2.1
2021-03-27,50-64 yr,17.5,1.2
2021-03-27,18-49 yr,6.2,0.3
2021-04-03,65+ yr,49.4,4.9
2021-04-03,50-64 yr,19.8,1.2
2021-04-03,18-49 yr,7.5,0.2
2021-04-10,65+ yr,61.2,4.8
2021-04-10,50-64 yr,22,1
2021-04-10,18-49 yr,9.2,0.3
2021-04-17,65+ yr,66.6,2.7
2021-04-17,50-64 yr,37.1,0.7
2021-04-17,18-49 yr,9,0.5
2021-04-24,65+ yr,70.7,5.3
2021-04-24,50-64 yr,30.1,0.7
2021-04-24,18-49 yr,12,0.2
2021-05-01,65+ yr,89.7,5.3
2021-05-01,50-64 yr,27.8,1
2021-05-01,18-49 yr,13.2,0.4
2021-05-08,65+ yr,81.5,3.3
2021-05-08,50-64 yr,29.7,1
2021-05-08,18-49 yr,10.3,0.2
2021-05-15,65+ yr,55.7,2.9
2021-05-15,50-64 yr,29.5,0.7
2021-05-15,18-49 yr,9.7,0.4
2021-05-22,65+ yr,63.6,3.2
2021-05-22,50-64 yr,23.7,1.1
2021-05-22,18-49 yr,7.9,0.6
2021-05-29,65+ yr,42.4,1.9
2021-05-29,50-64 yr,16.7,1.2
2021-05-29,18-49 yr,7.4,0.4
2021-06-05,65+ yr,35.9,1.8
2021-06-05,50-64 yr,16,0.3
2021-06-05,18-49 yr,4.9,0.2
2021-06-12,65+ yr,26.3,2
2021-06-12,50-64 yr,10.9,0.5
2021-06-12,18-49 yr,5.1,0.3
2021-06-19,65+ yr,24.3,1.6
2021-06-19,50-64 yr,10,0.4
2021-06-19,18-49 yr,3.9,0.4
2021-06-26,65+ yr,23.7,1.1
2021-06-26,50-64 yr,9.6,0.6
2021-06-26,18-49 yr,3.6,0.3
2021-07-03,65+ yr,19,1.2
2021-07-03,50-64 yr,10.2,0.6
2021-07-03,18-49 yr,3.7,0.3
2021-07-10,65+ yr,25.2,2.1
2021-07-10,50-64 yr,12.9,0.9
2021-07-10,18-49 yr,5.7,0.3
2021-07-17,65+ yr,47,2.5
2021-07-17,50-64 yr,17.9,1
2021-07-17,18-49 yr,7,0.3
2021-07-24,65+ yr,56.5,3.8
2021-07-24,50-64 yr,28.4,1.1
2021-07-24,18-49 yr,10.4,0.4
2021-07-31,65+ yr,82.9,6.1
2021-07-31,50-64 yr,40.4,1.6
2021-07-31,18-49 yr,14.6,0.6
2021-08-07,65+ yr,111.9,7.6
2021-08-07,50-64 yr,55.7,2.5
2021-08-07,18-49 yr,20.2,0.8
2021-08-14,65+ yr,147.6,11.3
2021-08-14,50-64 yr,72.1,3.9
2021-08-14,18-49 yr,21.6,1.5
2021-08-21,65+ yr,200.1,12.4
2021-08-21,50-64 yr,92.3,2.7
2021-08-21,18-49 yr,25.4,0.9
2021-08-28,65+ yr,239,14.8
2021-08-28,50-64 yr,93.8,3
2021-08-28,18-49 yr,27.4,1.8
