outcome,month,mmwr_week,week_date,age_group,vaccine_product,crude_vax_ir,crude_unvax_ir,crude_irr
case,04 - APR,14,Apr 04-Apr 10,12-17,all_types,14.0213124,231.5343158,16.5130274
case,04 - APR,14,Apr 04-Apr 10,18-29,all_types,33.23168556,274.5158439,8.260665665
case,04 - APR,14,Apr 04-Apr 10,30-49,all_types,30.4604062,250.9790573,8.239517741
case,04 - APR,14,Apr 04-Apr 10,50-64,all_types,26.44646877,192.3114205,7.271723955
case,04 - APR,14,Apr 04-Apr 10,65-79,all_types,13.72263477,159.4188272,11.6172171
case,04 - APR,14,Apr 04-Apr 10,80+,all_types,19.35900718,126.7832702,6.549058482
case,04 - APR,15,Apr 11-Apr 17,12-17,all_types,15.53921061,224.6820616,14.45903961
case,04 - APR,15,Apr 11-Apr 17,18-29,all_types,30.08268674,257.4873245,8.559319409
case,04 - APR,15,Apr 11-Apr 17,30-49,all_types,31.1834485,242.0603777,7.762463401
case,04 - APR,15,Apr 11-Apr 17,50-64,all_types,24.2586898,190.1080262,7.836698017
case,04 - APR,15,Apr 11-Apr 17,65-79,all_types,14.15880948,171.4024498,12.10571059
case,04 - APR,15,Apr 11-Apr 17,80+,all_types,20.38643926,128.5890807,6.30757922
case,04 - APR,16,Apr 18-Apr 24,12-17,all_types,10.26588646,190.4025613,18.54711349
case,04 - APR,16,Apr 18-Apr 24,18-29,all_types,27.19591042,217.785173,8.008011855
case,04 - APR,16,Apr 18-Apr 24,30-49,all_types,28.72655562,206.0055199,7.171257239
case,04 - APR,16,Apr 18-Apr 24,50-64,all_types,21.74274103,172.1626921,7.918168731
case,04 - APR,16,Apr 18-Apr 24,65-79,all_types,12.67589415,158.6740048,12.5177761
case,04 - APR,16,Apr 18-Apr 24,80+,all_types,17.5972667,123.545964,7.020747379
case,04 - APR,17,Apr 25-May 01,12-17,all_types,18.23375676,180.8241129,9.916997097
case,04 - APR,17,Apr 25-May 01,18-29,all_types,22.83039868,189.7011849,8.309149027
case,04 - APR,17,Apr 25-May 01,30-49,all_types,24.85183966,187.3203774,7.537485353
case,04 - APR,17,Apr 25-May 01,50-64,all_types,17.21143069,155.2983169,9.022975468
case,04 - APR,17,Apr 25-May 01,65-79,all_types,11.79121606,142.3313891,12.07096778
case,04 - APR,17,Apr 25-May 01,80+,all_types,19.63839802,108.9643541,5.548535779
case,05 - MAY,18,May 02-May 08,12-17,all_types,4.382889201,143.2839074,32.69165631
case,05 - MAY,18,May 02-May 08,18-29,all_types,17.44305494,156.2497581,8.957706012
case,05 - MAY,18,May 02-May 08,30-49,all_types,17.70030502,162.2726852,9.167790328
case,05 - MAY,18,May 02-May 08,50-64,all_types,13.24005802,138.214308,10.43910138
case,05 - MAY,18,May 02-May 08,65-79,all_types,9.014145265,127.9949425,14.19934323
case,05 - MAY,18,May 02-May 08,80+,all_types,16.02079212,97.07713118,6.059446404
case,05 - MAY,19,May 09-May 15,12-17,all_types,6.604306008,115.6607027,17.51292302
case,05 - MAY,19,May 09-May 15,18-29,all_types,12.21658076,140.964273,11.53876651
case,05 - MAY,19,May 09-May 15,30-49,all_types,12.30122341,150.8521719,12.26318447
case,05 - MAY,19,May 09-May 15,50-64,all_types,10.04589151,134.5634562,13.39487452
case,05 - MAY,19,May 09-May 15,65-79,all_types,8.56693482,127.4661551,14.87885198
case,05 - MAY,19,May 09-May 15,80+,all_types,13.52788664,88.48268268,6.540761691
case,05 - MAY,20,May 16-May 22,12-17,all_types,4.596628196,81.39072034,17.70661382
case,05 - MAY,20,May 16-May 22,18-29,all_types,8.029579218,104.8356236,13.056179
case,05 - MAY,20,May 16-May 22,30-49,all_types,10.14815821,115.0667509,11.33868319
case,05 - MAY,20,May 16-May 22,50-64,all_types,8.355015805,101.215494,12.11433902
case,05 - MAY,20,May 16-May 22,65-79,all_types,7.547037541,99.0234404,13.12083581
case,05 - MAY,20,May 16-May 22,80+,all_types,11.69081274,74.59108494,6.380316459
case,05 - MAY,21,May 23-May 29,12-17,all_types,2.527735579,54.10618648,21.40500254
case,05 - MAY,21,May 23-May 29,18-29,all_types,6.697450224,79.85880438,11.92376229
case,05 - MAY,21,May 23-May 29,30-49,all_types,8.224951663,90.78140785,11.0373181
case,05 - MAY,21,May 23-May 29,50-64,all_types,6.822243131,80.55776652,11.80810548
case,05 - MAY,21,May 23-May 29,65-79,all_types,5.839686229,82.90456326,14.19674962
case,05 - MAY,21,May 23-May 29,80+,all_types,11.51949076,59.28054499,5.146108126
case,06 - JUN,22,May 30-Jun 05,12-17,all_types,3.21441343,40.63201082,12.64056778
case,06 - JUN,22,May 30-Jun 05,18-29,all_types,5.621427913,68.04886524,12.10526334
case,06 - JUN,22,May 30-Jun 05,30-49,all_types,7.137825385,77.99979681,10.92766951
case,06 - JUN,22,May 30-Jun 05,50-64,all_types,6.18799558,70.95017401,11.46577645
case,06 - JUN,22,May 30-Jun 05,65-79,all_types,5.807783486,67.70090347,11.6569262
case,06 - JUN,22,May 30-Jun 05,80+,all_types,8.396052329,51.2704219,6.106491466
case,06 - JUN,23,Jun 06-Jun 12,12-17,all_types,3.675145168,37.28988082,10.14650554
case,06 - JUN,23,Jun 06-Jun 12,18-29,all_types,6.566695671,64.59298555,9.836451815
case,06 - JUN,23,Jun 06-Jun 12,30-49,all_types,6.699136851,72.05704441,10.75616845
case,06 - JUN,23,Jun 06-Jun 12,50-64,all_types,6.536420157,63.25034046,9.676602626
case,06 - JUN,23,Jun 06-Jun 12,65-79,all_types,5.492435395,65.47846419,11.92157203
case,06 - JUN,23,Jun 06-Jun 12,80+,all_types,10.18095112,42.7340902,4.197455592
case,06 - JUN,24,Jun 13-Jun 19,12-17,all_types,2.22689871,39.33914226,17.66543853
case,06 - JUN,24,Jun 13-Jun 19,18-29,all_types,6.130515385,71.52859181,11.66763107
